FileName,ReceiverID,Array,deploy_time,retrieve_time,RefTagID,Type,Status,DeploymentDate,DeploymentTime,Depth,Latitude,Longitude,DeploymentCrew,DeploymentNotes,RetrievalDate,RetrievalTime,RetrievalNotes,rkm
BeaverCreekTrib_004SB,004SB,BeaverCreekTrib,2026-06-11T13:21:00Z,NA,NA,3017,Deployed,2026-06-11,05:21:00,NA,60.540263,-151.146518,"Dave,Danielle,Megan",Beaver Creek Trib,NA,NA,NA,NA
BeaverCreek_065,065,BeaverCreek,2026-05-18T13:13:00Z,2026-06-24T10:14:00Z,04AD,3001,Retrieved,2026-05-18,05:13:00,NA,60.538373,-151.147268,"Stacey,Megan,Danielle",No grapple,2026-06-24,02:14:00,NA,16.36
BeaverCreek_065,065,BeaverCreek,2026-06-24T10:25:00Z,NA,04AD,3001,Deployed,2026-06-24,02:25:00,NA,60.537963,-151.147875,"Danielle,Megan,Sophie",NA,NA,NA,NA,16.36
BigEddy_005,005,BigEddy,2026-06-06T15:04:00Z,2026-06-24T13:38:00Z,0559,3001,Retrieved,2026-06-06,07:04:00,NA,60.50855,-151.09113,"Stacey,Megan,Danielle",NA,2026-06-24,05:38:00,NA,23.43
BigEddy_005,005,BigEddy,2026-06-24T13:52:00Z,NA,0565,3001,Deployed,2026-06-24,05:52:00,NA,60.509068,-151.091376,"Danielle,Megan,Sophie",NA,NA,NA,NA,23.43
BigEddy_010,010,BigEddy,2026-05-18T13:46:00Z,2026-06-24T15:20:59Z,04B5,3001,Retrieved,2026-05-18,05:46:00,NA,60.509068,-151.091376,"Stacey,Megan,Danielle",NA,2026-06-24,07:20:59,NA,23.43
BigEddy_010,010,BigEddy,2026-06-24T15:33:00Z,2026-07-01T12:24:00Z,04B5,3001,Retrieved,2026-06-24,07:33:00,NA,60.509271,-151.091035,"Danielle,Megan,Sophie",NA,2026-07-01,04:24:00,Dragged downstream to gravel bar below rocks. SD card not pulled during this retrieval.,23.43
BigEddy_010,010,BigEddy,2026-07-01T12:31:00Z,NA,04B5,3001,Deployed,2026-07-01,04:31:00,NA,60.509059,-151.091371,"Megan,Danielle,Nicole",NA,NA,NA,NA,23.43
Cunningham_051,051,Cunningham,2026-05-19T12:07:00Z,2026-06-24T10:59:00Z,04D5,3001,Retrieved,2026-05-19,04:07:00,NA,60.538795,-151.175871,"Stacey,Megan,Danielle","Grapple, no buoy",2026-06-24,02:59:00,NA,10.84
Cunningham_051,051,Cunningham,2026-06-24T11:23:00Z,NA,04D5,3001,Deployed,2026-06-24,03:23:00,NA,60.538609,-151.174587,"Danielle,Megan,Sophie",NA,NA,NA,NA,10.84
Cunningham_056,056,Cunningham,2026-05-19T12:13:00Z,2026-06-24T11:32:00Z,08AD,3001,Retrieved,2026-05-19,04:13:00,NA,60.538606,-151.17625,"Stacey,Megan,Danielle",NA,2026-06-24,03:32:00,NA,10.84
Cunningham_056,056,Cunningham,2026-06-24T11:48:00Z,NA,08AD,3001,Deployed,2026-06-24,03:48:00,NA,60.538772,-151.176307,"Danielle,Megan,Sophie",NA,NA,NA,NA,10.84
